,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,90246.9799951365,1764.9309783097256,83402.1181895757,1764.9309783097256,6844.861805560789,635.8870689172986,225811.50545724228,1444.224294900931
alg2,111477.13925833786,1433.3587487488062,94452.28982956539,1422.8466785815924,17024.849428772493,750.0525837776163,224726.57607112642,1444.4877528827324
alg3,147694.20140589913,2924.466417893331,63439.21904231635,1257.343628882841,84254.98236358282,1883.3436646792582,213850.86034979348,1294.0770587120705
alg4,132538.38426636066,3040.748951223103,82511.6759431169,1166.6074170697013,50026.708323243845,2009.8205761669344,220419.681153995,1432.6302213993383
alg5,102624.16077771057,2166.380218891435,102591.1782799264,2166.380218891435,32.98249778418176,32.98249778418176,228506.08497737919,1817.9614094700999
alg6,105254.7234511515,3554.0803489022337,99828.9704933871,3554.0803489022337,5425.75295776439,532.7341568959487,226154.09192136928,2039.9775886048049
alg7,131392.90410530116,3062.883688192983,65859.213587226,1557.082139969326,65533.69051807523,2109.1903622719383,207170.17723227825,1252.0455672063877
alg8,124583.01013328861,2214.154324270799,87737.33903574866,1795.2057300897131,36845.67109753993,1172.5116407543017,221610.2738977381,1071.3626088069154
