,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,74848.76258213726,2183.916834863676,53624.21125344681,2183.916834863676,21224.55132869042,1141.5731832197512,213846.91013512766,1185.5666340569592
alg2,91887.92230543023,1095.7257593544518,59343.064730601676,1015.003189932977,32544.857574828526,1004.5051799378077,222892.41159893203,1380.6774233464553
alg3,87994.46985867305,2768.5387864660315,11737.813416393257,258.69996337213195,76256.65644227981,2652.724008575693,211930.0078230303,1377.5315745132414
alg4,92592.5784095357,1711.6352809639573,12281.36144505445,193.89778727898357,80311.21696448122,1679.5645616825534,215240.83206880995,1184.7569311648804
alg5,99086.6141986157,2075.424029806734,99086.6141986157,2075.424029806734,0.0,0.0,228159.6396170937,1573.3001522609866
alg6,108011.50093988467,2331.109712562111,107166.31841242887,2331.109712562111,845.1825274557989,192.67532501335234,232891.33958679068,1799.2150433268862
alg7,80099.91232329364,2045.248136073164,18219.31012805043,992.7726770397562,61880.602195243206,1883.2087264965219,206479.5029383089,1526.0965609197813
alg8,92892.87194606832,2307.7354775460185,41381.0386247635,938.8820503725722,51511.83332130475,2031.813559870568,219614.32749022156,1061.9347788932712
