,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,153470.79006577874,4021.7500651253386,147074.5866870533,3876.5693524989715,6396.203378725454,1897.6631390841194,243871.31966212756,2315.0099310401
alg2,193883.15905785837,3378.5155441927636,170446.49734086273,2936.999310854372,23436.66171699572,2599.9629417386013,268970.12133588165,2204.0881942836386
alg3,450116.1783095491,8224.26973806998,110906.2273471846,2287.4781426863324,339209.95096236456,6066.345205882086,366366.6986566318,3395.461870764649
alg4,503052.7078797662,7220.818881561494,134645.4065969914,1830.9376023827615,368407.3012827749,5616.559172341695,395577.4168236515,3206.361872502818
alg5,177521.34208387663,3680.906924927923,175486.884763507,3590.526767895528,2034.4573203696305,1243.5247385453624,258038.529931146,2168.9546811830687
alg6,200034.32411589025,5498.177900361399,182252.34421764154,4773.7572727900115,17781.979898248734,2120.870606644809,267048.4002119944,2872.6419707915616
alg7,163565.2784410633,4717.998678287846,146864.51314239,4159.490824968621,16700.765298673337,3000.495515350726,242806.69569239128,2395.05250432399
alg8,210611.89948517884,4031.4643986762794,169481.63052438496,3135.9859975509967,41130.26896079387,2671.642620535467,273500.33456222696,2119.1088740818473
