,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,224178.3139317508,3915.874879839231,212023.20412525066,3344.4049414310693,12155.109806500152,1361.561352087647,626515.0485220201,3329.6057732749605
alg2,276665.8130900193,3226.672732032347,249473.33127313392,3121.6806290893023,27192.4818168852,2358.530518717749,653535.2770024621,2810.7807722316193
alg3,368055.13443764346,6396.201779407274,125869.48279288686,2844.0475159348607,242185.6516447564,4131.9726019515965,629389.9464735237,3407.5161097349282
alg4,386880.1813589561,6656.467017655493,132180.48131959973,1960.9610344906814,254699.70003935604,5305.7658534368875,638320.9758939898,3783.6937443639076
alg5,306755.809635949,8135.982359958669,306547.55578714894,8135.982359958669,208.25384880004526,208.25384880004526,661876.0243426842,4133.826649612059
alg6,305016.78837644984,5609.462471010832,301625.30345234676,5609.462471010832,3391.4849241030097,777.970959420345,662510.3519778581,4159.686116470741
alg7,265054.9758716979,4667.4342399836605,173558.88397539893,4667.4342399836605,91496.09189629892,3127.6970523446707,603953.7932693554,3020.873824209697
alg8,373688.9128472488,7763.097722731784,198296.2012289896,3984.794756798512,175392.7116182589,3939.4765791215395,653403.2301031408,2847.681709439452
