,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,90688.72596932136,1979.83987009843,84630.25415157063,1979.83987009843,6058.471817750753,777.5817301812847,223014.3398930479,1454.4907419109893
alg2,99452.39255212818,1496.1418065481662,87405.03024787903,1496.1418065481662,12047.362304249187,972.7563778420764,222501.79411506662,1324.4922718688802
alg3,129163.24928303887,2711.269485293499,61220.09346352386,1268.8566062446557,67943.15581951498,1655.24895700035,210499.67373412388,1235.2170903348074
alg4,161549.67465037695,2779.3489373514685,72921.05955615875,1085.5855256641867,88628.61509421832,1871.225029882692,216867.85038176575,1188.3553793922995
alg5,104897.0362204843,1839.815292689346,104154.97236977248,1839.815292689346,742.063850711817,589.4537950721735,227877.54194309245,1586.1516707135636
alg6,107330.97528374188,3665.654841656017,104800.84805562286,3665.654841656017,2530.127228119046,457.21185968532905,228346.20589107176,2020.1997196719467
alg7,126022.93146248936,3055.368285890455,67578.86795184888,1395.4153099285577,58444.063510640444,1768.3195060999565,206172.25156766266,1298.0224850882933
alg8,133775.957372562,3148.0957045276014,64788.004656809324,2114.273234103125,68987.95271575266,1408.28002465612,210352.40877286598,1093.7921044419925
