,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,140587.09736722184,2800.3086307674816,140367.89375425345,2800.3086307674816,219.2036129683924,130.43016564189426,239006.34283393555,1831.3134285121337
alg2,165093.07693271083,2146.3891809252464,156263.17222198285,2146.3891809252464,8829.904710728022,1462.6191388667294,251802.89404803424,1665.253455493412
alg3,425650.97988701373,6414.92512039042,103018.62303278678,1980.1686790134243,322632.3568542272,4867.075633059665,362252.19008006604,3090.6417389433063
alg4,486472.3671236266,7140.485767593003,127485.31215344627,1662.4019545425379,358987.05497018027,5578.39713551423,387204.1813358491,3153.1010836373184
alg5,178485.316045383,3914.0083676801123,178485.316045383,3914.0083676801123,0.0,0.0,258661.5205344339,2381.801205023603
alg6,160860.57363266023,4349.721589529599,160709.72260789108,4349.721589529599,150.8510247691542,150.8510247691542,251314.42414366626,2226.07486324531
alg7,139020.69508796668,2930.266475295248,135059.23395051342,2930.266475295248,3961.46113745331,1943.026930195957,223960.58394759908,1969.516871491535
alg8,185992.8228500315,2837.613824721325,160966.719401193,2463.796089461704,25026.103448838538,2260.204957453078,263434.62282544427,1827.3724904119908
