,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,537803.880477696,4544.318071922873,531731.8675012626,4544.318071922873,6072.012976433345,760.2978837289529,319820.6239987266,2613.7374850754904
alg2,557862.836740345,3888.4183712374593,540344.7291033163,3880.705247241819,17518.107637028555,1074.5036447767154,320692.04652747215,2350.057273907101
alg3,846701.669721969,6972.458190974263,375384.8088100633,3489.6183370222193,471316.8609119054,4217.828108708112,276675.16829843103,2118.182571890714
alg4,874836.0266642903,7062.3293791123015,397390.23916616605,2989.030628602196,477445.78749812406,4308.904040338815,283536.0751337283,2148.3615886667117
alg5,555455.7082961692,4347.580163995879,555455.7082961692,4347.580163995879,0.0,0.0,322228.88716208923,2491.346499446414
alg6,558387.1182858997,4656.272291671987,558353.0686938737,4656.272291671987,34.049592026056004,11.701089432474486,321997.56090211926,2542.4386023576317
alg7,830497.3385001638,7141.649503127444,385965.1662791787,3547.0104413266818,444532.17222098494,4360.646444528034,272601.84060563816,2194.936550384748
alg8,862928.0234623759,6083.343694107553,397656.086794115,3291.916011118034,465271.9366682606,3809.495170772813,282251.04650700366,1849.5152688426642
