,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,154028.9040587158,2524.8187845189045,146665.70746007183,2497.521767032079,7363.196598643952,1747.3067267345893,240014.40556813776,1878.8894779426234
alg2,181276.82933201082,3142.1155357988127,169119.96805173042,2608.503217041069,12156.86128028045,2457.7150682361435,257930.25530862348,2061.9087173275566
alg3,419893.1387717176,7742.822713750042,108960.11273412908,2212.2893638053583,310933.0260375883,5579.095182547986,349989.1435541402,2918.658394685766
alg4,500074.9067793566,7393.815227050873,129873.20662334519,1822.5487307901694,370201.7001560113,5670.326504296791,390201.5279975401,3131.2894789622865
alg5,179321.68338520706,4600.486649205563,179178.06865006252,4600.486649205563,143.6147351445486,143.6147351445486,253316.3481770161,2455.5471987560186
alg6,187495.48550313566,3352.999042607201,179743.38650884022,2850.1868101259433,7752.098994295414,1383.6169612733797,262285.7256180738,2003.4165524622194
alg7,168923.3500551735,4723.649851366565,152553.26405473833,3418.8752162420215,16370.086000435103,2167.617894862069,244251.0794809144,2301.989256190556
alg8,184875.26456333403,3936.576767358361,164392.61114027278,3936.576767358361,20482.653423061212,2294.2098833162304,261602.4377136675,1812.0250128829866
