,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,155992.37003855052,2897.0081024993897,151168.027375609,2761.398727140529,4824.3426629415035,2333.6352242029634,242631.43630465976,1943.170623680906
alg2,186106.61593219778,2661.87424105597,166708.42521541592,2659.2871802074465,19398.190716781846,2083.4064372846624,260682.35619552343,1985.476319673226
alg3,483072.60378197854,9480.809922369604,114992.83326521327,2781.4608303687464,368079.7705167654,6699.349092000857,375326.3905613873,3444.4320369976303
alg4,428145.82340222865,7431.129674590402,134833.35922261776,1854.466449188702,293312.4641796108,5576.6632254017,360580.88354971574,3206.036836642357
alg5,187985.8396429151,5726.100159150913,181690.6914927176,5448.541169969991,6295.148150197481,2478.749688277145,259077.31029047805,2531.861629614758
alg6,189949.47714275224,5259.463478822633,172354.65390141399,3237.241204066834,17594.823241338254,2216.1316061632,260851.82535265,2745.152582632932
alg7,171083.947288966,4099.364759781356,139261.34782600752,4099.364759781356,31822.59946295855,2600.69028100403,242757.95839573,2169.8209436160646
alg8,201839.17244437564,4414.056482232383,161920.6853709216,3550.252784575725,39918.487073453965,3304.277538056781,266473.7886404964,2059.9371579549224
