,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,144969.41864160832,4044.2220725321527,134064.56283178786,2437.849581386418,10904.85580982052,3165.8795812188873,233274.4419251627,2443.007094378546
alg2,199213.62419922886,3442.668167565536,171976.36199240157,2802.26829843176,27237.262206827316,2502.42236914959,270910.2219615901,2134.2077588621123
alg3,448210.06174256076,8194.194351379452,110997.10084421698,2651.0588661280185,337212.9608983433,6249.700885331165,363644.8647533732,3592.159538000791
alg4,556813.5654388288,7562.425005912696,134206.1196021604,1834.5744252903196,422607.44583666854,5727.850580622377,418290.41196910565,3278.4407499464733
alg5,173262.84692228617,4874.758931627217,172130.6544677114,4874.758931627217,1132.1924545747943,582.0799085003904,254840.24215499486,2618.6604210617934
alg6,185633.18564759303,3761.6735605365075,176057.1454884436,2952.8562831645104,9576.040159149483,2111.9695341236884,260739.36399687163,2124.5128065059107
alg7,152134.17811052452,4590.597131937875,141566.56968019533,2712.4210273035087,10567.608430329221,2743.012138008781,231550.26066573415,2234.553876092423
alg8,181934.9515441448,3330.086454667973,160933.5751312431,2569.3317320992332,21001.37641290179,2330.86650541319,257098.90193846571,1902.3776564378068
