,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,155310.69965196055,3647.8313994767473,151292.4619497558,3647.8313994767473,4018.237702204722,2377.256856869589,241741.58127775748,2157.2985606174752
alg2,185018.3041189498,3088.2706101059857,169382.73969654867,2704.6662601902112,15635.564422401108,2392.0985886550716,262012.19480337712,2058.3415584500026
alg3,460306.63777510525,7199.255352259428,113202.59666969805,2121.3538810795617,347104.0411054071,5351.546392599543,367104.4441970001,3206.372194856229
alg4,563598.2590732081,7686.035291551061,135485.91300323274,1979.4142252443357,428112.34606997576,5876.330415484195,419585.484472683,3312.5416315576513
alg5,173744.8755771752,4050.1476818174606,172471.60695255318,4050.1476818174606,1273.268624622023,615.577214555934,252723.50451080463,2009.4217277776152
alg6,199975.01518736832,4412.963563142544,176881.45049831967,4412.963563142544,23093.56468904864,2295.1753799201842,264176.1886172304,2378.119587088079
alg7,155638.71400150613,3497.2767530057545,145571.96866893797,2564.4657488801554,10066.745332568185,2917.550836826883,234922.70062380796,2234.7984473453125
alg8,202088.78501683337,4679.6267776688455,171825.7210135945,3220.2664027257424,30263.064003238876,3275.550633348601,269274.35781233024,2062.180539327314
