,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,154180.06905464054,3894.5942794560397,148337.3326927668,2717.4307498721055,5842.736361873764,2074.5746390729487,244411.57742382347,2440.6222123065118
alg2,196890.5256955419,3450.1506779390693,166556.97076642595,2653.432336290008,30333.55492911599,2515.4274682870973,268778.7057114217,2264.384256870497
alg3,446668.8228334874,8632.96972798885,112357.92622453047,2385.9864524360137,334310.89660895703,6481.642700776321,364519.3368565268,3385.45713271104
alg4,500726.29416076065,7542.332766555733,135897.15265830737,1867.252399307549,364829.1415024532,5869.47305573302,396466.2563072359,3291.296080961234
alg5,179448.8170234778,4208.673752010837,178361.70338482625,4208.673752010837,1087.1136386515195,441.75027290856434,260438.3779771789,2273.018066809989
alg6,197204.40423677978,4888.2375853873455,177432.70621715434,3914.362010886763,19771.698019625484,2107.766967480182,269081.615638408,2615.3034567285627
alg7,163379.44049378776,5052.4103928905,151161.26719995702,3799.1264630956784,12218.173293830725,2481.7499932398937,241943.39425209718,2478.936045218264
alg8,196637.6095203981,3879.1218678266896,167306.37716575997,3209.7048270159407,29331.232354638185,2586.2123083618435,266559.3520244728,2104.8406483432054
