,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,2442889.095556313,8401.93893410567,2424115.700743767,6368.104869272132,18773.39481254694,2525.0119972620923,1304516.3654179012,3838.432367384115
alg2,2668657.5407702713,9717.69959827223,2475264.459362606,6599.204695112046,193393.08140766528,5029.960281521992,1394018.7211270453,4206.256265835268
alg3,6587745.627095014,19153.2819789714,1849216.156628971,5295.793059917291,4738529.470466046,14303.122742580124,2215857.343718495,6272.88845267658
alg4,6708383.525213931,19128.779628712113,1912451.2837627123,5064.258012050285,4795932.241451219,14097.283992021703,2254399.0407993007,6208.13554083329
alg5,2430607.0650854944,6440.378425021194,2430607.0650854944,6440.378425021194,0.0,0.0,1295886.17130606,3346.5653342546993
alg6,2491103.2776530315,7484.819912142658,2480436.763350122,6158.156056340604,10666.51430290904,2040.4005487993595,1328947.0446722638,3244.4738487073514
alg7,2440248.9357470036,8104.53458738673,2429014.919615825,6116.108418723858,11234.016131177812,3392.6746076350564,1303656.633583282,3303.3716927088108
alg8,2560270.7297740863,10268.529830436857,2479280.219380007,7405.952744950244,80990.51039407821,3084.204968499721,1346501.3899508244,3964.8846043811054
