,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,2268116.689259248,7454.666486761445,2252110.574348193,6065.34463489656,16006.114911054901,2460.5407089121068,1222125.9349669693,3764.3988040238855
alg2,2369696.482712702,7570.051390503701,2348240.5467395163,5957.306590307477,21455.935973185125,2398.447197126309,1258392.4686129915,3342.7043119554805
alg3,6089457.087309286,17506.66390730039,1730828.6595563153,5547.92905472783,4358628.42775298,12523.84121246107,2043893.0875863743,5615.401182209859
alg4,6178707.481488735,16331.660267297642,1782532.9919675011,4852.265289572075,4396174.4895212315,12412.042228236653,2074775.0288590654,5503.660303404005
alg5,2324775.1272906936,9469.989696723584,2321614.4762542928,6692.439106498206,3160.651036400674,2777.5505902253785,1239307.6039539985,3708.808430561736
alg6,2331128.196104316,8588.84188326843,2312896.2922555394,6195.399998240118,18231.903848775786,2659.1360667365857,1242298.3687477394,3589.4640957228135
alg7,2237224.1578847263,8374.002039289924,2216395.543651258,6146.635137623811,20828.61423346892,3017.012181920512,1205425.9834205424,4015.7111621800555
alg8,2302640.761077078,9190.456737493609,2236677.87135172,6052.709623265915,65962.8897253583,3137.747114227693,1232014.285438764,3747.168841449028
