,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,2318700.436831646,9838.481707223982,2284230.217721378,6015.248938745519,34470.219110268285,4623.012587264604,1232446.8500491278,4059.4636499134053
alg2,2331548.1871188846,8250.145426399145,2293410.9612222817,6153.279730456849,38137.225896603,2912.2050617954133,1250056.0036772257,4005.107502587718
alg3,5986542.316812459,18719.204045348033,1709414.4621586136,5461.632372194915,4277127.854653846,13257.57167315312,2018013.096841053,6040.697714577048
alg4,6146822.613195643,16443.63381788353,1790003.5718414169,4637.8733018357925,4356819.041354222,12227.071350761906,2068720.0122506686,5391.407554975867
alg5,2251408.3924129987,6011.153696658627,2251112.6718310695,6011.153696658627,295.72058192999594,295.72058192999594,1216172.233028063,3145.4799207106526
alg6,2368551.2706226795,10128.828260025646,2314164.3574134475,7127.616180964062,54386.91320923227,3045.3400269785343,1253940.099785765,3731.4322535034726
alg7,2310596.2501273323,11124.538384474383,2276192.954024914,7059.914695214506,34403.29610241674,4282.4987685363885,1233628.7834466456,4274.853892180546
alg8,2306822.651103313,7145.496128316985,2294577.9666885654,6206.189842635091,12244.684414747411,2821.207411329067,1236311.7973702187,3187.364282054565
