,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,166906.70851728827,4263.08451250521,161948.02281974367,4263.08451250521,4958.685697544606,1565.634023803803,255588.50118589247,2128.392587335324
alg2,222137.61868682905,3841.2874764257494,178779.68492151596,2795.564363977598,43357.93376531293,2861.990146886067,282918.4618070072,2388.201524636159
alg3,481656.69870575407,8311.63789672262,124476.25686794678,2334.5883038029524,357180.4418378074,6457.561086439518,384625.7866538932,3555.227898867361
alg4,601097.3162023682,7525.203016554622,135823.7161641633,1936.2763977594282,465273.60003820504,5887.414424936782,444198.90029044764,3095.9079919689884
alg5,186061.10291531528,3356.967247187632,185859.14640475242,3356.967247187632,201.95651056286277,201.95651056286277,269510.83165198547,2165.2586118413083
alg6,208879.3012970883,6056.8466004227985,196802.0164646817,6056.8466004227985,12077.284832406523,2057.9913258951437,278002.0485960194,3182.03560097777
alg7,156739.47098868896,3460.7093352267566,148436.76865029783,2836.351863474274,8302.702338391113,2181.02138240552,244618.21570652563,2339.4629145492354
alg8,211021.6105553272,4416.411165021667,172513.51014197106,4416.411165021667,38508.10041335613,2881.5161932017154,282292.1780370074,2365.4530346674037
