,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,168003.73319581256,3101.627626186968,163853.62053924837,2720.743042242199,4150.112656564186,2399.487326816536,251404.52849473964,1972.4920006127963
alg2,212660.76946753563,3890.8404581263653,177183.7512275544,2882.863223926308,35477.01823998113,3067.5728096351977,279828.46879359207,2482.2575979412945
alg3,453388.82858050725,7377.511717622605,119527.11154943763,2809.286069919914,333861.7170310695,5573.391363015206,373344.86490190006,3257.997669807282
alg4,586636.0945713829,9266.577939269639,138294.34820551585,1930.733034004217,448341.7463658664,7335.844905265421,436203.8172288719,3303.959460711851
alg5,190363.40312909242,2648.234571324683,188736.23185322413,2648.234571324683,1627.1712758682909,1045.717786022896,269484.87848803645,2014.5960245794922
alg6,211532.9847238138,4012.375043959997,185510.86029620684,3129.9966532631206,26022.124427606956,2455.968062369635,277355.36870311294,2402.962424456216
alg7,175096.36005438477,4270.429748942506,166548.49597296762,3703.860579768122,8547.864081417096,2332.5692898161406,252831.62664546,2496.490432895632
alg8,230827.81230665476,4447.426814572516,179857.84666315297,3284.4067335537666,50969.965643501666,2759.82013831961,287956.1009544031,2242.383530091025
