,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,69113.68677039084,1722.215675300437,52190.872757663914,1722.215675300437,16922.814012726965,754.1508557215051,212490.61627806455,1363.6045654083184
alg2,84814.7916120589,1131.7678030087259,65671.54507051101,1131.7678030087259,19143.246541547855,777.4879675492425,222010.2712182828,1259.6599120682813
alg3,90186.92495942517,1942.7112468315688,11186.690947630597,284.93789327075,79000.23401179457,1828.6551393961327,213673.75235042968,1284.3698157781243
alg4,98663.43104517352,2319.2214163855856,12575.156814006486,168.44133679587625,86088.27423116697,2155.107850294429,218529.65971482216,1645.6921132044463
alg5,94942.46235259571,2538.6090674945976,94928.811720348,2538.6090674945976,13.650632247697331,13.650632247697331,226421.24279052953,1796.3809085970424
alg6,96897.4164303183,2221.7541526220107,94532.21915053367,2221.7541526220107,2365.197279784601,380.1200336859258,224528.59683137032,1724.6202996776333
alg7,80714.57277823855,2100.1009126198765,13736.177558945816,692.5228046731087,66978.39521929275,1886.5920105787268,205485.5341318819,1330.530266118004
alg8,90095.79263483593,1555.2890129970149,48049.617733723826,1118.8212955506647,42046.17490111207,1385.360787481976,218823.1684838148,1027.8812932257315
