,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,68961.9146596333,1206.1512703774745,49753.84533853976,1206.1512703774745,19208.069321093524,907.9686200575122,212726.69225016507,1307.4852666636825
alg2,86195.37030892019,1229.4813531305338,59502.99829194489,996.0966209440999,26692.372016975314,1019.4933670716873,220839.82478259076,1293.3509504107342
alg3,89792.67453148076,2382.1782785546584,11722.933219781193,334.9525337165029,78069.74131169959,2262.637371372344,214648.2945816549,1541.934383863374
alg4,91339.65431540413,2418.3503381017204,12854.417107319989,208.58202096693788,78485.23720808419,2255.8035375070076,212307.07064154872,1478.4796167988675
alg5,102768.62419931103,3557.760921362213,102515.64034981445,3557.760921362213,252.98384949657242,196.38521477160197,230710.42833648453,1826.3143359910607
alg6,98959.8444350433,2446.1126225507487,98127.91970923552,2446.1126225507487,831.9247258077762,309.4188733723404,227103.27053372466,1612.4721553318238
alg7,86657.117668061,3723.6325312149393,16986.6685785127,1932.2344077760918,69670.44908954829,2119.808718229337,207954.0016490785,1794.9886071654794
alg8,89728.70457094072,1624.8266869708,28346.073686121945,1400.4386275874863,61382.63088481874,1421.5459975796277,214702.55604985426,1040.8837875232775
