,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,232865.03457254535,4378.553557733959,216509.13447545003,4115.280427030819,16355.900097095286,1830.7930945822832,624414.1257160414,3539.056906744787
alg2,290691.5727346797,3545.3380851392712,241025.14057523958,3513.823069587115,49666.43215944002,2517.359690822025,645313.4500828022,3240.9115450636064
alg3,364986.0863112175,7719.528078180508,119966.82458853936,2668.559882941119,245019.26172267817,5463.973388200994,631155.9211398792,3446.7813600733402
alg4,393809.65786169335,6788.28500947332,144144.12722582283,1928.2025469934874,249665.53063587047,5008.7477001579655,644546.9803409226,3615.2841262526463
alg5,274461.8411385088,5451.043974531407,273860.64959702134,5451.043974531407,601.1915414875169,495.49978540353294,644764.8173118995,3916.9213414444653
alg6,280206.0042204269,7111.219652561407,270618.319741467,7111.219652561407,9587.684478959913,1196.7432247167592,641188.6133551968,4478.154016313962
alg7,276594.2419609553,6432.91562195359,175171.96212492316,3964.4572739272216,101422.27983603202,4420.702745529385,608450.1749985019,3708.163843004949
alg8,313064.8758317061,5223.638867893556,213799.18195563141,3833.629425653095,99265.69387607458,3330.716726908026,641498.2702276551,2770.3945611188165
