,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,2220290.050053012,6085.802108887498,2217415.889806028,6085.802108887498,2874.1602469848103,1762.1801648586984,1206436.2834864184,3171.4607555826883
alg2,2305078.339231481,5626.809084089462,2294258.3102895315,5626.809084089462,10820.028941949739,2660.6204360420484,1235780.8536603048,3050.4511297363915
alg3,6034343.9950953545,16843.912385090607,1703972.4412585818,4824.976444591341,4330371.553836775,12495.629245571325,2035228.9982604322,5592.697158897062
alg4,6077583.66328358,16326.583128781207,1737853.6783838898,4641.172569833385,4339729.984899689,12206.836320007185,2046235.1290105104,5494.018553983674
alg5,2265543.3422203776,6535.3358779098835,2265543.3422203776,6535.3358779098835,0.0,0.0,1220105.021338179,3224.3565560952
alg6,2295377.802319787,5912.966241568587,2295377.802319787,5912.966241568587,0.0,0.0,1237425.4510356726,3120.4024563059684
alg7,2237003.0532073085,6993.14958905014,2228807.9462953657,6333.8511340579025,8195.10691194378,1909.3373672955663,1201663.424726513,3040.4430225461524
alg8,2304730.0346620423,6572.577458230941,2291515.8071341673,5818.704359383664,13214.227527875471,2156.0957698992943,1237784.8784141599,2892.376200035588
