,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,151591.87078275476,3722.6476913440447,144249.34137298004,3505.1170633654083,7342.529409774727,2527.213725509525,239601.192697635,2219.9922514305
alg2,206210.50463058634,3452.870487146709,168317.7016739558,2972.98345057784,37892.802956630556,2738.636023487109,273906.06907893193,2233.101444239128
alg3,433836.2501235286,8712.35241046922,112385.3266498691,2736.4360796010887,321450.9234736595,6337.954284491254,358655.58294830413,3451.822632973206
alg4,535527.0425400805,7251.806027744165,133037.61998817747,1819.6753294735067,402489.42255190306,5645.214383828848,413243.5655650903,3265.2685080588335
alg5,175429.1059835599,4160.320984124631,173928.22168358238,4137.641669733586,1500.8842999775025,1234.934991148525,255350.25926445276,2347.1442149276722
alg6,188696.20082957094,4531.2353002211685,175418.15390864637,4012.179670406542,13278.046920924611,1861.296625082854,263765.3442714937,2428.396875775473
alg7,155927.7916203238,3873.930310674823,144626.04164480208,3873.930310674823,11301.749975521703,2203.2918458106774,238343.01077641422,2310.4141626481223
alg8,199769.60944525994,4089.698596895019,172850.74953564093,3361.565262651471,26918.85990961904,2540.9911792245484,268489.3688895467,2082.9995755082964
