,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,1356605.975423549,4468.8349730985,1339322.559348086,4468.8349730985,17283.416075462854,1051.2523231671016,797330.0469805544,2578.1836522159465
alg2,1392692.6051998704,4348.742801940174,1370229.5159881774,4344.015380503338,22463.08921169269,904.8757485994104,795984.126189688,2583.655548914819
alg3,2170485.353140775,7045.486824891372,967361.8430793933,4013.6660093286414,1203123.5100613832,4397.264173869465,705076.653112502,2163.9323729881703
alg4,2166983.7793123852,7359.570234500836,990936.5588283088,3228.8652900364186,1176047.2204840754,4574.495927665707,704257.5394166475,2371.2830948958494
alg5,1378106.6801333243,4792.180451971224,1378106.6801333243,4792.180451971224,0.0,0.0,802839.6949846863,2622.3554369508224
alg6,1381230.1776823269,4486.584472123081,1374763.905806019,4486.584472123081,6466.271876307476,717.4521235179768,800404.2377803305,2691.9384446965673
alg7,2134236.725004272,7544.873301159432,982545.0118735314,3539.1540952440923,1151691.7131307411,4570.891881123039,695866.071108112,2325.9546029696826
alg8,2193625.691616846,6875.192474991833,1005401.2082352015,4089.56567003681,1188224.4833816467,4262.818315103836,710878.2653099697,2042.0506844377544
