,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,1382188.491629141,4385.186062634761,1368695.516565525,4385.186062634761,13492.97506361645,1606.94863509088,813041.6553582618,2510.1313195745124
alg2,1411543.6437100482,4243.225556528234,1388815.6754535493,4243.225556528234,22727.96825649956,1357.487120002109,811247.9393568523,2537.941261144979
alg3,2168536.3829482524,8523.053217326085,979429.3955687938,3990.1850093545395,1189106.9873794566,4619.694833639832,705577.7563802052,2538.2290384685202
alg4,2183991.0398343685,7541.742671343289,994062.8473269857,3385.4197851125045,1189928.1925073836,4524.651962217547,707929.0774725446,2336.3848266558903
alg5,1387646.6513270838,4854.5960011587,1385948.0142186338,4854.5960011587,1698.6371084497885,932.3112695981927,811597.2881674735,2736.852184561649
alg6,1403435.184000378,4691.289204014827,1399070.0506169614,4691.289204014827,4365.133383417062,644.9521983453556,813416.5620292742,2552.5927072740114
alg7,2135979.1981694656,8397.687637399806,989028.7301241363,3907.3377879865793,1146950.468045332,4761.686436545748,695896.3656901841,2436.941090558774
alg8,2213863.724493067,6761.929785468925,1004483.4692237942,3643.768322052824,1209380.2552692732,4120.980196736577,715194.7499227312,2076.2325388015684
