,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,1342871.7736777272,4572.208673432443,1330059.954037397,4093.8004998617303,12811.819640330297,765.5484284472453,795231.7452136963,2539.346653608387
alg2,1377298.5920021823,4224.671751664722,1338009.1935433478,4202.685387211637,39289.39845883586,938.0371489997274,780266.6023827548,2617.07110581413
alg3,2099550.073200941,9638.803066317989,944442.3507068631,4056.277870069832,1155107.7224940786,5582.525196248157,684580.5537066783,2943.086571904034
alg4,2131199.2124061473,7533.834796964229,980912.5149688129,3235.2727952004716,1150286.6974373332,4348.440306498471,692572.922455922,2255.353094535877
alg5,1355458.4462684616,4799.357708985638,1355458.4462684616,4799.357708985638,0.0,0.0,790309.3792291867,2654.4273115459177
alg6,1340605.1322588874,4637.24968880171,1331695.9624378274,4637.24968880171,8909.169821060039,773.6737068374648,791839.9049643448,2644.956573165173
alg7,2081831.0970339996,8641.176861903004,938718.9973310815,4335.746155505984,1143112.0997029177,4305.43070639702,679316.6337873387,2638.254928330004
alg8,2128311.4807848893,6624.354766513446,978721.2004321339,3548.4498264945364,1149590.2803527536,4211.51834862361,691191.5558709092,2050.395192499251
