,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,88448.82717110703,1837.840314619855,85319.69189025406,1788.2164527039276,3129.1352808529855,592.537073068464,222945.72765117377,1517.552753462523
alg2,111593.09581783407,1479.970046291905,93439.54545204621,1462.7094968599288,18153.550365787865,822.7815225481872,226908.69650415113,1303.6240398828422
alg3,138434.07600066758,3424.4388539362435,64456.333991866304,1467.5605431133083,73977.74200880123,2118.7541500142024,213288.6933344788,1477.5132359438953
alg4,143675.13923866567,2675.500526340468,79213.2102368849,1004.2092761731558,64461.92900178077,1837.542836942675,221099.2858249538,1297.1136952471556
alg5,106098.97615818284,2953.4035454718965,105662.31167685628,2953.4035454718965,436.6644813265542,253.2037622192682,231265.70590406755,1718.1428535846321
alg6,107684.81138125849,2606.034543628153,103884.84519693232,2606.034543628153,3799.9661843261483,400.79312476820826,230145.15163045126,1618.4134358862575
alg7,137112.18571506633,3447.3912474087047,69682.0467683752,1870.1759789002183,67430.13894669112,1942.6329577228655,209473.14810800462,1376.1561459361797
alg8,145071.29100042675,2557.2107775991217,79844.82433155962,1523.7734847945999,65226.46666886711,1500.2054993547788,219798.52475403933,1084.0048727355697
