,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,69036.5188788819,1585.9032792562216,49480.52995259875,1404.5991323096086,19555.988926283153,1073.62376067717,211945.92356077704,1219.5500269728936
alg2,90972.55902179948,1228.8144141415526,49550.11556197488,1031.449013493567,41422.443459824615,1035.3756038855197,221233.79370599185,1247.5963292790502
alg3,91713.7272548093,2411.3776684392433,11479.467693757495,279.63206348504093,80234.2595610518,2217.7168334364646,213999.0785201698,1483.1276723305982
alg4,95796.07141172871,2207.8446826596073,12838.279063055259,193.61764845307636,82957.79234867348,2053.700605963503,216103.81305474197,1424.9850848821757
alg5,96055.46698868767,2259.535942052951,95749.1212247221,2259.535942052951,306.34576396558305,245.06667537773131,227458.36511982145,1696.6963418847076
alg6,94978.53117665512,2111.309167587501,92827.35675728734,2111.309167587501,2151.174419367782,371.13742080532904,226365.02319496247,1615.359415134794
alg7,80116.67910719852,2696.1129364154076,18920.032904214488,1119.4710068141517,61196.64620298401,2374.2361153548727,207013.04945670895,1479.147313995407
alg8,95422.78682809726,1710.159920661159,26107.58730113603,944.7429163420456,69315.19952696121,1525.6125276861103,218606.52481682476,1066.4051800719521
