,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,1355141.900929898,4815.875940921103,812140.0724146264,3930.4759539645856,543001.8285152708,2587.8511579248516,783408.1631828501,2417.126260796291
alg2,1409751.4245093132,4272.293003607514,1094063.4076378904,4272.293003607514,315688.0168714226,3189.8769511430996,801009.6963129254,2639.570484649307
alg3,1428176.1214324483,4369.246988322195,183668.61448865733,760.3203102113149,1244507.5069437916,4220.790447543013,744895.0802502298,2262.9706979684966
alg4,1419909.4267743258,5057.489669985814,186186.2641198725,640.5445327385455,1233723.1626544532,4748.683604130376,739439.2737419354,2635.000210038355
alg5,1463414.696991489,5047.341934458695,1462372.253913696,5047.341934458695,1042.4430777931125,595.3319682328549,852663.060020193,2747.1681981493184
alg6,1466899.0997211023,4838.076471149593,1462998.9500837007,4838.076471149593,3900.1496374019134,629.940969651757,850888.4274836999,2699.9861848921173
alg7,1397250.907317734,4428.410986395806,191716.0279589085,761.8734898937296,1205534.8793588264,4111.1978696312435,729889.3274109584,2370.942966557682
alg8,1421720.1322134908,5007.2765817387835,188866.08081170538,700.6398940458798,1232854.0514017863,4376.975374963113,744345.3580165127,2066.2528855441565
