,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,1293222.872101894,4923.832059164733,765215.2575683969,4595.361464782981,528007.614533498,2485.880983310528,737956.5198594454,2517.5010029515165
alg2,1352907.4117824016,4121.753067430773,834002.6760777718,3501.351721802153,518904.7357046298,3498.0717360206913,751377.2927348558,2301.030195478854
alg3,1379128.1152996942,4593.280118943067,185299.95758783954,852.4934333892592,1193828.157711853,4301.062389607673,708528.6492400971,2355.1758971657946
alg4,1395943.1449259482,4790.462680098358,188003.9760463433,634.2885769441316,1207939.1688796037,4404.467499192379,719581.6940866543,2127.333872067286
alg5,1392807.6165055297,4668.993475610362,1389405.7839908982,4668.993475610362,3401.8325146312277,701.9960511107706,813384.7513825077,2453.027822687875
alg6,1406505.0616607522,5042.877309351703,1405381.9016632403,5042.877309351703,1123.1599975119661,497.290296709348,813064.3627597688,2742.9779609972716
alg7,1350932.183054877,5194.03983799072,190609.6424024087,834.0372889519285,1160322.540652467,5006.364279586824,699492.8437006081,2450.9845100194925
alg8,1377709.3298695276,4418.9710364813845,211499.87496045025,2584.867095230567,1166209.4549090764,4185.5961016058045,710372.31631949,2043.940756690906
