,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,3818422.7638290133,10555.487729623175,3770445.3722185553,10555.487729623175,47977.39161045825,2592.30901640215,2244620.0822585397,6181.873338187853
alg2,3922289.0447296393,10430.306212031603,3803035.4716375605,10430.306212031603,119253.5730920803,4200.437428641938,2251190.9657438053,6088.723699927367
alg3,5751496.200046994,16343.114721241955,1892118.9026279275,6349.669454716111,3859377.2974190703,11951.070596769132,2247645.4281524913,5855.215568406331
alg4,5847524.237745855,17969.060041802433,1921130.854772832,5568.1302359009,3926393.3829730186,13788.219424458559,2265819.669015655,6287.729382271288
alg5,3812679.813328654,10699.862682003644,3811357.780975301,10699.862682003644,1322.0323533530345,982.5630658727782,2241114.369060094,6717.817821319722
alg6,3911464.492622569,11142.725374544561,3902682.8546211678,11142.725374544561,8781.638001401636,1690.7975695583127,2277594.0369357867,6506.897194955003
alg7,4039199.1916668196,16204.955372520686,3516383.8129211445,10108.398276068805,522815.3787456713,12042.92511499533,2216647.1107088546,5861.115144544049
alg8,5073336.519011912,15508.66568931307,2732037.5272054076,9078.633819605873,2341298.9918065094,10354.068329946,2262490.778010428,5371.5664674019135
