,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,3959334.5365187093,10025.07985829008,3904472.8031790303,10025.07985829008,54861.7333396795,3719.4683842665445,2321510.3100299025,5880.819935769228
alg2,4062698.295044872,10107.595716074482,3953921.4237863366,10107.595716074482,108776.87125853694,3802.5261569573354,2352156.482102952,5760.135634325588
alg3,5909617.309041673,18310.68540204083,1961670.9349790895,6323.028245226677,3947946.3740625856,13271.81811999216,2318718.8253491716,6209.815073545458
alg4,6004912.487620136,16541.901959957595,2031095.4576241826,5571.219908989423,3973817.029995958,12975.80395413522,2344101.548338159,5589.312410682529
alg5,4047502.985184985,10685.16601156565,4045331.3070951332,10685.16601156565,2171.6780898517645,1108.2614541890189,2350986.210062624,5941.807846982099
alg6,4086190.305140896,11363.049382766803,4021303.226512579,11099.645423466172,64887.07862831588,2459.318621656056,2363344.98990702,6145.810492113306
alg7,4315493.711150619,14006.710247570358,3433501.219452213,9883.509718162763,881992.4916984085,9482.403608648388,2282679.672384486,5997.226342405044
alg8,5984988.3002536455,14965.095729745193,2009063.5074237143,7653.047554330627,3975924.7928299294,11018.605220920861,2332923.4772421783,5328.264924942784
