,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,3860141.116584465,11410.689312635724,3811071.414584798,10901.095021288713,49069.70199966643,2273.264919830083,2264650.4709644397,6009.75224240171
alg2,3910027.5398471486,10127.175060951922,3805634.9426270076,10127.175060951922,104392.59722013949,3471.2955096620567,2275929.3859833064,5830.925956002645
alg3,5723625.314738649,15658.266179902785,1873432.908422515,6096.820515272121,3850192.4063161397,11213.614454219412,2240320.9859641404,5688.829841272437
alg4,5718075.4970462425,16180.839664076699,1937159.5418728897,5452.987087016385,3780915.955173361,11658.355143434112,2236344.427233643,5901.974153624111
alg5,3894305.1703252853,11393.262757266342,3891947.685213564,11393.262757266342,2357.4851117213393,997.4769692587251,2273673.983617236,5836.771544395338
alg6,3883873.6877991175,10869.319499595249,3870161.3096227045,10869.319499595249,13712.378176413446,1994.7120022233848,2265204.7894073226,5819.105364884844
alg7,5585010.218691048,17577.484804254796,1914831.3083450824,5801.222841610719,3670178.910345965,12567.190308995414,2199261.431803713,6031.5026895790525
alg8,5753535.239472288,15882.2673884562,1956096.6301529752,6026.262554110549,3797438.6093193176,11399.052453009921,2244635.2588979444,5356.441628057088
