,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,3861607.5037198546,11586.864710126425,3785134.627149338,10499.365386204954,76472.8765705167,5124.957595042955,2263972.1347831776,5592.963320416929
alg2,3880068.8948304537,9984.995545713751,3803196.2157121245,9984.995545713751,76872.67911832573,3768.5136492822667,2266162.7562579345,6149.358265518124
alg3,5780385.575281963,15124.088044284794,1894862.4553137554,6251.7042213417135,3885523.119968205,10781.916161321316,2264571.2539924895,5309.404751844394
alg4,5683810.843786406,16008.291839377518,1888562.8236052142,5345.731495410886,3795248.0201811898,11844.57324343971,2236103.942186832,5801.059975801932
alg5,3937678.6061414382,11026.60246455256,3937076.8378006923,11026.60246455256,601.7683407459035,601.7683407459035,2282868.119421209,5888.068933430704
alg6,3940588.5117140687,10441.644854400127,3934241.8877176098,10441.644854400127,6346.623996458895,1644.869499991979,2289572.9531613747,5884.984689656122
alg7,4761856.790856407,13758.322327715978,2800886.911438711,9011.777733133766,1960969.879417696,9547.41244729705,2219303.8328194516,5715.913231580798
alg8,4118477.546682731,12228.256610575889,3619868.599922533,9972.298133622073,498608.94676019356,5647.78269904714,2272726.3847274273,5301.455257845746
