,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,234432.23371067215,4467.124973445143,216292.69270530777,4467.124973445143,18139.54100536438,1997.3725978967373,624515.4430289937,3540.1432420518954
alg2,290365.13745584904,3704.245845286458,235824.71637849946,3701.740821496346,54540.421077349594,2501.0507869148837,642059.215829361,3450.747389305955
alg3,374056.87986053777,8176.426753645492,120281.65403424753,2594.411280276944,253775.22582629015,5793.712819473002,632964.2619229427,3678.323671212643
alg4,395772.50456992217,6545.955825353911,139265.57980501722,1775.081584158114,256506.9247649049,4935.494690185861,642940.1832416065,3440.4122834513983
alg5,279166.3693966783,6138.515694895647,277946.9287771955,6138.515694895647,1219.4406194828582,533.5548988775054,644450.415096157,3880.4805517749132
alg6,289682.065206309,7191.185787154805,272742.07873293076,6807.08726287334,16939.986473378238,1271.6247135999927,646341.3722449243,4245.862737785308
alg7,279495.16700489057,6312.201852542916,179249.9932313543,5229.780146767278,100245.1737735362,4345.4958566239,608958.923544571,3550.0463530031675
alg8,314684.423419711,5005.088995480462,218769.22554742655,3646.86612061958,95915.19787228444,3478.011028595417,640570.6312588407,2722.607340023678
