,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,75321.56248215394,1823.9027965881132,36879.68137349032,1443.9934268219617,38441.8811086636,1380.0673506247508,209261.44869693494,1490.1920930365204
alg2,91493.02758056241,1420.8855003937915,27190.858410176257,1245.3906167530156,64302.16917038615,1315.5217470270527,214991.48842973923,1276.4789787187244
alg3,90771.08937170097,2285.0167260310873,11884.648226737107,335.6553478956182,78886.44114496384,2107.5729639804877,211178.09550740983,1514.2311650388854
alg4,97955.18192135527,2624.452427190594,12637.882359090707,209.60713320170476,85317.29956226454,2489.605912429276,216952.69042242083,1684.9111663272708
alg5,105651.70461003683,2917.3542183850427,105198.23106420058,2917.3542183850427,453.4735458362548,425.6276054476986,231022.27349533245,1449.4704778996006
alg6,103286.56221859643,3875.4112091876345,101494.12959970064,3875.4112091876345,1792.4326188958066,348.0358999409391,226805.60412723754,2076.716416547762
alg7,77109.45606154896,2320.9565845157877,31027.178898288224,1597.2654135681094,46082.27716326074,1617.034851893487,207153.1218928021,1406.193568229367
alg8,101256.82930178175,2115.4691104848266,24381.71148257839,1238.3596670965387,76875.11781920331,1805.3487224190967,216034.68474724737,1104.7250830178618
