,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,63197.30207922602,1767.9345696104342,49281.82108020897,1234.956211751803,13915.480999017042,1178.538865317853,211780.81914396436,1432.0561502195715
alg2,77992.64520825482,1208.7841179476584,54633.988502061584,1041.6186313925323,23358.656706193233,817.4866881407968,220044.49504471468,1348.7450434423863
alg3,78441.48772089662,2161.2217525910787,10673.939709010849,227.2208904268332,67767.54801188572,2033.7959201121923,210565.9332566489,1472.985802258023
alg4,72729.21332871534,1571.0494741809587,10482.457158582409,160.23279493441447,62246.75617013297,1411.3298610991471,211479.108079944,1227.5708001622827
alg5,86347.54546153062,2087.624192923114,86172.97518935992,2087.624192923114,174.57027217067326,71.97351243414118,224737.93513076406,1646.3246495730282
alg6,88904.90252434586,3519.1319964312975,85688.10644593545,3519.1319964312975,3216.7960784103925,402.1045170059996,226411.72325273388,2436.239319777752
alg7,76942.86039779894,2540.922700514794,24583.73244769056,1977.111081168154,52359.127950108385,1833.1191541830335,207464.58098488825,1596.718567870776
alg8,79059.66213298895,1807.7509286885688,28367.316833775334,1224.5302751373629,50692.3452992136,1616.191855325829,216082.10942873562,1008.2010321785812
