,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,67361.9687404619,1886.4089344223307,43923.338861684,1886.4089344223307,23438.629878777916,1196.3608138317468,211187.39839869522,1531.5557664627843
alg2,98396.71720946125,1393.724815826904,73804.06127775734,1392.2916256610763,24592.655931703895,1122.7139225716073,226250.6087227653,1198.3744794505865
alg3,89808.60295356931,2413.807341831225,11857.250721896342,302.785927003128,77951.35223167295,2187.7661882661228,213547.0756253472,1598.4017559056556
alg4,91552.29731242856,1950.0125446442503,12603.7801661487,188.30238600249336,78948.51714627993,1832.5292150162677,213038.6641599844,1439.896284934689
alg5,102197.60140058356,3568.635426958528,102197.60140058356,3568.635426958528,0.0,0.0,229199.087317034,1979.3697521784957
alg6,104890.87290714584,4403.8474952322995,104131.82918456093,4403.8474952322995,759.0437225849336,188.36950771606246,230043.95860583064,2209.3009578623287
alg7,79602.81943048473,2107.330296362169,18721.562350875385,945.1173026828837,60881.2570796094,1862.601100287952,208132.79094579784,1208.963266838985
alg8,93926.35322825726,1404.2409668126788,38585.56506239699,1268.253966703099,55340.78816586027,1254.4124838214343,219115.73403647842,1069.5681005572694
