,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,247899.78495698245,4585.2343764149655,231240.61450547999,4094.174086001688,16659.170451502396,1678.8612395957252,629413.8626299575,3344.2726351674537
alg2,296582.570535432,3913.5997908688455,263823.46434604423,3713.8671424243566,32759.106189387545,2232.729654111322,652251.6923822162,3457.3402758226002
alg3,396208.1079087897,11826.703927030903,129262.90277666907,4148.255287076793,266945.20513212023,7678.448639954111,641880.5058435061,4126.781169055044
alg4,447371.20810978964,6959.212939062118,146587.2010925574,2028.0635941674946,300784.00701723236,5165.977161819976,654593.4400008352,3681.254147925273
alg5,293034.7009105735,5114.28238787852,292021.07448104204,5114.28238787852,1013.6264295314729,572.317732638036,652523.8067864067,3965.6457525028195
alg6,294419.4528873742,4512.484613117945,291100.007536345,4512.484613117945,3319.4453510291796,914.9270033036132,651091.5955216547,3665.3949924215417
alg7,291823.26193421514,7628.439124955781,192503.14738695172,4821.71802767497,99320.11454726354,4336.247971650295,613524.1042759818,3733.910963628881
alg8,360487.4379816358,5657.595853265313,180561.76305312247,2875.3816010717537,179925.67492851338,3604.7105244327277,635997.0739966257,2833.4066823753756
