,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,223982.87546792973,3783.32026416625,202086.21348821122,3783.32026416625,21896.661979718458,2151.9483861052527,619815.5550689554,3144.0173777823384
alg2,263013.64072345087,2985.484108133509,221389.31695100994,2950.6204747216666,41624.32377244102,1958.7547573653032,632176.1224404234,2916.427013601492
alg3,339679.14443121676,7030.189937223198,114085.98402548555,2121.888085056364,225593.16040573083,5087.407136528163,631474.4406543821,3516.930011463737
alg4,370128.90000482375,5974.376428592976,132874.9201180379,1524.8843300163967,237253.97988678556,4598.469295210464,643817.4912600622,3032.1250298551713
alg5,263000.8641724797,6853.496888419578,261153.3146967833,6853.496888419578,1847.5494756963885,1847.5494756963885,639715.1029660666,4063.1604884399767
alg6,258449.46047818157,3814.8829153673864,251299.43553203132,3814.8829153673864,7150.024946150249,906.1817374924865,641163.3299325472,2999.461424180973
alg7,266472.6370142789,6522.984985109237,174443.1188396835,4126.945723194678,92029.51817459533,3578.55301978464,598890.762613579,3340.2575875246757
alg8,291664.97014395375,4790.7305656908775,220696.52059049768,3504.7759061399365,70968.44955345606,2424.03459091013,635439.0412603755,2731.4401995979256
