,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,223787.8693053749,4317.3427899119015,194615.56899264947,4013.2381491772107,29172.300312725587,2044.40596208213,620673.5959258311,3474.365050266517
alg2,265084.2651658659,3717.064195576615,231904.53475240615,3682.3019291152955,33179.730413459765,2976.099284126687,643214.3946418152,3452.9091483551038
alg3,348266.7148938825,8929.728903117626,114665.92712572696,3072.7493454746837,233600.78776815554,5856.9795576429415,628103.0652919292,3882.8179496301764
alg4,365952.347116398,5971.075073501142,125062.6734299488,1903.5092362926725,240889.67368644912,4405.214229395277,629074.6462018158,3012.9693855169
alg5,293420.28699988103,8397.419553196987,293420.28699988103,8397.419553196987,0.0,0.0,650442.7809560738,4791.1872031874545
alg6,260047.42939896957,5278.2001176697995,251450.52312188724,5278.2001176697995,8596.906277082335,1016.2316540521547,635873.1058662254,4311.894522079761
alg7,252334.67189356353,8976.458296547415,167694.6975349776,4035.346134427764,84639.97435858587,6495.350776766503,604773.2042917054,3768.8857546511676
alg8,301554.3121607108,6567.636047169584,183512.5159409631,3253.679244468412,118041.79621974776,3541.058170297996,631778.511027137,2709.637552841528
