,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,244851.66805862298,4552.766069873401,233764.5121239017,4552.766069873401,11087.15593472126,1318.7424866240585,623067.8363462026,3654.5586785599166
alg2,290061.965760901,3436.096333098576,204471.75567510747,3436.096333098576,85590.21008579338,2456.8050054201385,636039.8747209843,2937.8264421204312
alg3,387929.3059388447,7363.293024793417,118333.1019842845,2728.7659776109713,269596.20395456045,5388.358816235466,637944.8564103491,3811.3859302965243
alg4,406323.74848662486,6026.708735045454,133388.87877306252,1902.6996991023311,272934.8697135626,4371.859962018416,650865.640038698,3278.7779545290505
alg5,265394.4193332335,6997.330127759694,264628.5202869533,6997.330127759694,765.8990462801879,560.2612332658714,635260.17002964,4465.3413844870065
alg6,256380.81086815952,4920.819399637442,229676.02017240564,4920.819399637442,26704.790695753945,1653.4899877544726,623603.0263015596,3387.52426967086
alg7,277426.08760857384,5476.049634008067,174344.5168345265,3665.448748255704,103081.57077404734,4146.805526232327,604118.8321184677,3212.196702342506
alg8,336826.9761415168,5298.629807082077,211719.7688307598,3204.590825430866,125107.20731075705,3224.2860531497377,642280.5047841795,2886.729607638679
