,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8
alg1,250126.04515917582,3945.350740595749,222649.89044635254,3945.350740595749,27476.154712823343,2381.4427402550073,629061.1371114311,3777.694303937495
alg2,304006.308879787,3990.940004714624,257355.68933221832,3990.940004714624,46650.619547568596,2349.7570606576746,647357.0875396141,3500.0737909947684
alg3,374638.9456689048,8792.278110904253,124612.84362342063,2502.265248229637,250026.10204548403,6713.5656424197805,638439.2184957346,4343.484285610319
alg4,422550.4647965485,6438.687372929748,150963.74697596888,2099.700070930112,271586.7178205796,4592.719360041643,648622.760406303,3635.088403401275
alg5,298170.75142864557,8066.426063182528,296244.08170701074,8066.426063182528,1926.6697216348027,493.7912134811677,655287.1778129502,4980.366192632212
alg6,316523.85373000085,9804.951403269004,311477.7192427361,9804.951403269004,5046.134487264701,1242.8062853352178,658221.1832448954,5373.236344070275
alg7,320858.8939330253,7539.0741245952995,184057.65166616943,5520.0166836970375,136801.24226685584,4045.766491616049,615099.6778024579,3409.248180478614
alg8,380910.8155191065,5578.778249889052,180004.71403827993,3660.800404103946,200906.1014808265,4234.406054064801,650177.1951460482,2905.3193570170483
